Date,PC,PC_recal,Reff,Reff2,rien,rien,rien,rien,rien,Ei,Es,Ai,A,li,Ps,Ps_liss,P(tous),P(SPF)
06/09/2020,,,,,,,,,,,380041.843695666,,115012.124688021,3131.64899167982,207569.472739817,207317.475928731,,
07/09/2020,,,,,,,,,,,394102.718520534,,117937.348006302,2262.59762622462,211548.610834241,210928.26470765,,
08/09/2020,,,,,,,,,,,406361.519579363,,121269.245768757,2564.26484858713,214680.259825921,214167.759588853,,
09/09/2020,,,,,,,,,,,413449.486963406,,126524.077464267,3450.23087836981,216979.753538701,217031.876750402,,
10/09/2020,,,,,,,,,,,422418.883489075,,131917.267533757,4095.7601780604,220049.584945382,220339.351867452,,
11/09/2020,,,,,,,,,,,431299.642632532,,137977.55281706,4582.38093470097,223499.815823752,223946.440506216,,
12/09/2020,,,,,,,,,,,441027.466725652,,144324.479083988,4780.28212912573,227595.576001812,227959.376450721,,
13/09/2020,,,,,,,,,,,452345.747991295,,150450.533081827,4595.77914298637,232177.956936513,232320.067215226,,
14/09/2020,,,,,,,,,,,464808.789011561,,155943.466051302,4102.78794603945,236958.239065639,236823.831857923,,
15/09/2020,,,,,,,,,,,477630.428277969,,161012.259428097,3767.14654078113,241554.018208625,241233.216268524,406361.519579363,395104
16/09/2020,,,1.06027118300803,2.65067795752008,,,,,,,489818.536270015,,166055.492413426,3729.91884025199,245656.806154665,245413.239895254,415831.47359501,404888
17/09/2020,,,1.05292002734108,2.6323000683527,,,,,,,500595.867681649,,171598.667144562,4085.68611911043,249423.952695446,249408.213969982,422539.838078677,415481
18/09/2020,,,1.05,2.625,,,,,,,510443.16044133,,178058.559206163,4753.67813157006,253153.871535698,253390.998021648,431299.642632532,428696
19/09/2020,,,1.05199944305207,2.62999860763018,,,,,,9886.81365319481,520329.974094525,,185184.727067322,5233.86786515189,257239.557654808,257572.793232153,441027.466725652,442194
20/09/2020,,,1.05940669856459,2.64851674641148,,,,,,10754.7518506021,531084.725945127,,192529.499081182,5441.35528672974,261993.235786379,262066.148256555,452345.747991295,453763
21/09/2020,,,1.07271010860485,2.68177527151213,,,,,,12478.4050953714,543563.131040498,,199527.019295907,5221.78282322121,267227.10365153,267368.078400901,464808.789011561,458061
22/09/2020,,,1.09239801524012,2.7309950381003,,,,,,13765.0651978698,557328.196238368,6302.31513091451,205829.334426822,4310.9325646536,272668.45893826,272458.192301221,477630.813146042,468069
23/09/2020,,,1.11895876053771,2.79739690134428,,,,,,14411.5206000784,571739.716838446,5719.93625939999,211549.270686221,3938.9171038724,277890.241761481,277350.304071584,489919.342403813,481141
24/09/2020,,,1.1528806865649,2.88220171641225,,,,,,14003.6480485214,585743.364886968,5696.09628240386,217245.366968625,3954.72546127792,282201.174326135,281887.303467007,501089.12210907,497237
25/09/2020,,,0.869011164274321,2.1725279106858,,,,,,11773.135443654,597516.500330622,6744.6487841333,223990.015752759,4301.90074024082,286140.091430007,286144.447011307,510443.16044133,513034
26/09/2020,,,1.01427599301283,2.53568998253209,,,,,,11018.7145010246,608535.214831647,7455.42888856225,231445.444641321,4991.36203814857,290094.816891285,290369.157338668,520329.974094525,527446
27/09/2020,,,1.14330827067669,2.85827067669173,,,,,,11398.3165124345,619933.531344081,7948.4697008549,239393.914342176,5506.02607914792,294396.717631526,294864.568183331,531084.725945127,538569
28/09/2020,,,1.25680701754386,3.14201754385965,,,,,,9345.99942717308,629279.530771254,8116.85776698315,247510.772109159,5764.60824003136,299388.079669674,299780.846470001,543563.131040498,542639
29/09/2020,,,1.35547125389231,3.38867813473077,,,,,,12656.5467193243,641936.077490579,7741.14863590743,255251.920745066,5601.45921940859,304894.105748822,305073.613260746,557328.196238368,550690
30/09/2020,1.44,1.44,1.44,3.6,,,,,,15737.7128871284,657673.790377707,6416.35881679145,261668.279561858,4709.25417746161,310658.713988854,310486.621924105,571739.716838446,563535
01/10/2020,,,1.51109227614491,3.77773069036227,,,,,,18112.5002236564,675786.290601363,5940.39979531484,267608.679357173,4407.48580040988,316260.173208262,315747.653916192,585743.364886968,577505
02/10/2020,,,1.569447102605,3.92361775651249,,,,,,18981.542379396,694767.832980759,6094.56666801206,273703.246025185,4559.3266049738,320969.427385724,320712.776877572,597516.500330622,589653
03/10/2020,,,1.61576349965824,4.03940874914559,,,,,,16953.3150388618,711721.148019621,4966.48692109629,278669.732946281,3738.39977086922,325376.913186134,325292.44855825,608535.214831647,606625
04/10/2020,,,1.65074048758259,4.12685121895648,,,,,,16650.2943755443,728371.442395166,6695.84445023461,285365.577396516,5062.61868772972,329936.239791107,329736.642048544,619933.531344081,619190
05/10/2020,,,1.67507708665603,4.18769271664009,,,,,,17889.054825015,746260.497220181,8300.97849046066,293666.555886976,6295.08515485139,333674.639561977,334395.540396552,629279.530771254,624274
06/10/2020,,,1.68947231715653,4.22368079289132,,,,,,15100.924742253,761361.421962434,9536.99466989023,303203.550556867,7245.00008946257,338737.258249706,339678.367747763,641936.077490579,634763
07/10/2020,,,1.69462519936204,4.2365629984051,,,,,,20892.6741025693,782254.096065003,9988.4326345403,313191.983191407,7592.61695175842,345032.343404558,345733.02706178,657673.790377707,653509
08/10/2020,,,1.69123475355054,4.22808688387636,,,,,,26361.8822536003,808615.978318603,8924.7525333697,322116.735724776,6781.32601554473,352277.34349402,352470.955353511,675786.290601363,671638
09/10/2020,1.68,1.68,1.68,4.2,,,,,,30600.5677223589,839216.546040962,8777.08374939407,330893.819474171,6660.11775021772,359869.960445779,359496.659062953,694767.832980759,691977
10/10/2020,,,1.66161995898838,4.15404989747095,,,,,,32166.600038883,871383.146079845,9451.28891376004,340345.108387931,7155.62193000601,366651.286461323,366545.569934885,711721.148019621,718873
11/10/2020,,,1.63679365079365,4.09198412698413,,,,,,28672.0355816142,900055.181661459,8003.05371280709,348348.162100738,6040.36989690121,373311.404211541,373382.519115945,728371.442395166,734974
12/10/2020,,,1.60622009569378,4.01555023923445,,,,,,27972.4945509144,928027.676212374,11116.2469233134,359464.409024051,8357.06964102769,380467.026141547,380311.143542697,746260.497220181,743479
13/10/2020,,,1.57059831396674,3.92649578491684,,,,,,29724.8105446823,957752.486757056,14093.2205856961,373557.629609747,10544.7529014401,386507.396038448,387818.950371556,761361.421962434,756472
14/10/2020,,,1.53062732589048,3.82656831472621,,,,,,24717.0977392325,982469.584496289,16450.8297509255,390008.459360673,12240.2270889436,394864.465679476,396531.475014201,782254.096065003,779063
15/10/2020,,,1.48700615174299,3.71751537935748,,,,,,33558.2329963277,1016027.81749262,17403.6936396155,407412.153000288,12866.6400155532,405409.218580916,406658.969415671,808615.978318603,809684
