Date,PC,PC_recal,Reff,Reff2,rien,rien,rien,rien,rien,Ei,Es,Ai,A,li,Ps,Ps_liss,P(tous),P(SPF)
06/12/2020,,,,,,,,,,,2382448.54179854,,1319361.91235433,2747.31186605893,981482.881881936,981349.018055797,,
07/12/2020,,,,,,,,,,,2393061.57216284,,1325376.81206972,3641.73677947913,984921.122526678,984706.719161065,,
08/12/2020,,,,,,,,,,,2403895.00008568,,1332655.41189565,4410.45498269898,987668.434392737,988126.759624381,,
09/12/2020,,,,,,,,,,,2414650.92780942,,1340814.37610615,4397.9478226679,992107.211480058,992349.156133994,,
10/12/2020,,,,,,,,,,,2426817.82371581,,1348222.62534283,4485.30077371852,996265.146119016,996445.12332243,,
11/12/2020,,,,,,,,,,,2440056.96181224,,1355368.21151355,4323.00020530089,1000663.09394168,1000717.87221939,,
12/12/2020,,,,,,,,,,,2454033.88617211,,1362222.03723234,4108.02072500775,1005148.3947154,1005049.01206987,,
13/12/2020,,,,,,,,,,,2468226.10390062,,1368994.15503278,3977.47222303809,1009471.3949207,1009322.06959907,,
14/12/2020,,,,,,,,,,,2481816.22620483,,1376000.55710116,3990.01027974417,1013579.41564571,1013485.22119136,,
15/12/2020,,,,,,,,,,,2494677.6673008,,1383725.45316265,4246.40054113287,1017556.88786875,1017581.1342913,2403895.00008568,2386375
16/12/2020,,,1.0935778841042,3.03771634473389,,,,,,,2507072.36353248,,1392211.25066966,4554.37372768536,1021546.89814849,1021720.88059965,2412629.42609744,2401765
17/12/2020,,,1.07808602313865,2.99468339760736,,,,,,,2519446.25646827,,1401228.15687059,4768.53133112946,1025793.29868963,1026014.50640645,2424261.74987673,2417637
18/12/2020,,,1.06338482570062,2.95384673805728,,,,,,,2532552.84866105,,1410422.81321305,4825.35402769146,1030347.67241731,1030517.72848453,2440056.96181224,2435129
19/12/2020,,,1.05,2.91666666666667,,,,,,13834.8955126164,2546387.74417367,,1419341.47703602,4690.27821399662,1035116.20374844,1035198.97741244,2454033.88617211,2445810
20/12/2020,,,1.03845725424673,2.88460348401869,,,,,,14280.2416083039,2560667.98578197,,1427892.99697624,4532.84857428491,1039941.55777613,1039966.33635564,2468226.10390062,2449477
21/12/2020,,,1.02928229665072,2.85911749069644,,,,,,14253.356254668,2574921.34203664,,1436226.70729468,4482.6811224106,1044631.83599013,1044526.65784662,2481816.22620483,2470760
22/12/2020,,,1.02300083542189,2.84166898728303,,,,,,13679.9781241568,2588601.32016079,7874.7777518252,1444101.48504651,4454.60145688444,1049164.68456442,1049113.09950916,2494803.40679322,2489092
23/12/2020,,,1.02013857877016,2.83371827436156,,,,,,13075.4707899114,2601676.79095071,8346.82099808467,1452448.30604459,4718.37318940088,1053647.36568683,1053663.8407513,2507404.07143473,2505923
24/12/2020,,,1.02122123490545,2.83672565251514,,,,,,12816.5120022989,2614493.30295301,8808.33430900868,1461256.6403536,4980.56238454185,1058101.96714371,1058267.29722848,2519953.17051044,2518906
25/12/2020,,,1.26534821903243,3.51485616397897,,,,,,12658.5028107343,2627151.80576374,8660.21548059689,1469916.8558342,5140.88697898943,1062820.34033311,1063012.02012025,2532552.84866105,2520208
26/12/2020,,,1.25154259385838,3.47650720516217,,,,,,13370.5403320629,2640522.3460958,8663.79189479516,1478580.64772899,5131.20825168047,1067800.90271765,1067917.13793885,2546387.74417367,2529961
27/12/2020,,,1.23812531328321,3.43923698134224,,,,,,14128.4890801819,2654650.83517598,8334.22065237315,1486914.86838136,4924.79212469637,1072941.78969664,1072930.36582834,2560667.98578197,2532058
28/12/2020,,,1.22507602339181,3.40298895386615,,,,,,18069.4782864202,2672720.3134624,7983.93659175559,1494898.80497312,4707.16948436804,1078072.99794832,1077937.31826088,2574921.34203664,2554120
29/12/2020,,,1.21237437026911,3.36770658408085,,,,,,17838.6824581547,2690558.99592056,7843.35208176445,1502742.15705488,4613.94432082767,1082997.79007302,1082846.17285421,2588601.32016079,2573659
30/12/2020,1.2,1.2,1.2,3.33333333333333,,,,,,16937.5272006788,2707496.52312124,7763.88172391705,1510506.0387788,4557.06101186436,1087704.95955739,1087619.13184,2601676.79095071,2592857
31/12/2020,,,1.1879325586694,3.29981266297056,,,,,,16018.4457592803,2723514.96888052,8218.70776405588,1518724.74654286,4813.39451954272,1092318.90387821,1092313.76341575,2614493.30295301,2608409
01/01/2021,,,1.17615169236222,3.2670880343395,,,,,,15538.4106678338,2739053.37954835,8703.6702523584,1527428.41679522,5086.25606886545,1096875.96489008,1097034.98567826,2627151.80576374,2609926
02/01/2021,,,1.16463704716336,3.23510290878712,,,,,,15190.2033728812,2754243.58292123,11155.7680552974,1538584.18485051,6505.0121831112,1101689.35940962,1102065.0887017,2640522.3460958,2623327
03/01/2021,,,1.15336826915774,3.2038007476604,,,,,,15883.3001874601,2770126.88310869,11037.2231341105,1549621.40798462,6421.92568493575,1106775.61547849,1107512.1042572,2654650.83517598,2626145
04/01/2021,,,1.14232500443027,3.1731250123063,,,,,,16617.246342177,2786744.12945087,10502.3714846176,1560123.77946924,6097.50979224438,1113280.6276616,1113395.41872988,2672720.3134624,2653962
05/01/2021,,,1.13148689906585,3.1430191640718,,,,,,21044.3838352787,2807788.51328615,9953.97194646625,1570077.75141571,5766.64047334084,1119702.55334653,1119481.20885489,2690558.99592056,2676061
06/01/2021,,,1.12083359914939,3.11342666430386,,,,,,20574.5703108167,2828363.08359697,9676.55915824737,1579754.31057395,5593.82784042019,1125800.06313878,1125563.59583281,2707496.52312124,2695540
07/01/2021,,,1.1103447507658,3.08429097434945,,,,,,19348.1608345532,2847711.24443152,9480.19664154763,1589234.5072155,5468.47321423726,1131566.70361212,1131415.12244636,2723514.96888052,2714297
