Date,rien,rien,rien,rien,rien,rien,rien,rien,P(tous),A,P(SPF),Pi,Hi,His,Ci,Cis,Date,CDi,HDi,HDs,Di,D,CDs,C2Os,COis,COi,OBs,Cos,HOi,HOis,Ois,Oi,Oos,Oo,O,H2Rs,HRs,HRi,Ri,Hos,H,D,R,C,Mi,M,Oref,Href,Cref,Rref,Dref,Vref,Wref,Hiref,Ciref,Diref,Riref,Hsref,Csref,Rsref,Dsref,Tous,dTous,sref,1a0,0a1,Vi,Vs,VDi,VD,Bi,BDi,HsBs,BDs,BFi,F,BRstemp,BRs,BRi,FR,DD,Bio,eHB
19/05/2020,,,,,,,,,,,,,308.928466062175,99399.3852803853,41.3377503905304,18121.9891189049,,,,12733.2103268817,80.6470167856305,18008.885630102,5275.6753032203,12846.3138156846,11209.4902165434,55.3030338605531,9549.04092287955,16485.1655197637,92.6182229109248,19435.5104231266,30645.0006396699,147.921256771479,23186.358601475,93.4269190550294,7458.6420381949,49108.6754114722,40676.2814876077,468.888288447219,562.315207502248,80318.2791999475,19081.1060804378,18008.885630102,62281.8869361879,1636.82359914121,38.4670888945431,43873.7801760559,,18468,1894,62563,17714,36530,10308,506,69,140,882,,,,,,,5283,,,,37092.2354889609,23.3682362612127,10231.723975773,27.5066336576856,2.60746998214803,108948.426203265,594.803466806325,46.4500304492796,4291.53490213325,3209.02185421341,3723.20289830074,0,66573.4218383212,18603.6890969083,939.499655639238,51.9654422275098
20/05/2020,,,,,,,,,,,,,248.7806236787,99632.8245967268,45.9759107346434,18169.4340117741,,,,12780.0375160253,65.5672251538274,18069.8198489083,5289.78233288295,12879.6516788912,11290.1342607129,75.3732215556402,9582.04898228625,16579.9165935959,78.8288204297734,19511.0953129141,30801.229573627,154.202041985413,23376.1868959845,169.090614608197,7425.04267764244,49172.2577560133,41133.4553280608,456.704965274826,625.795579883024,81043.8115287179,18589.0130680088,18069.8198489083,62942.1438693455,1589.51741817824,15.2427578125931,43878.4078428921,,17941,1794,63354,17812,36751,10320,432,43,102,823,,,,,,,5318.75,,,,37188.9570019406,29.4589298539549,10263.3076510927,31.8478104642354,2.63264291535498,109214.873579013,597.449114575041,44.4290052957076,4335.77673458143,3029.63525410953,3723.20289830074,0,67277.920603927,18667.2689634833,925.620234829049,57.3530305895249
21/05/2020,,,,,,,,,,,,,194.969646674791,99808.5058543505,45.9737684311224,18215.9016448119,,,,12824.9522110446,62.039024114074,18129.6695774188,5304.71736637413,12911.1842784378,11385.5789046718,89.7004649845958,9617.62524124922,16690.296271046,67.6775203942744,19574.4748692081,30960.05377388,157.37798537887,23519.254231476,142.519315433757,7440.79954240393,49193.1771292858,41487.3885946949,376.056480703737,518.575796137494,81610.4958697475,18198.0099846029,18129.6695774188,63446.3751186371,1525.60537376594,45.7905655069225,43931.2628170468,,17583,1745,63858,17870,36853,10345,271,28,58,530,,,,,,,5349,,,,37267.0146279279,26.6109089750354,10289.7348751104,34.4511736917461,2.45264453605218,109426.1310956,599.864244379956,38.8896655100958,4373.04430092482,2849.64109373142,3723.20289830074,0,67819.4194195619,18729.5338217987,921.513797643708,54.4419014314755
22/05/2020,,,,,,,,,,,,,166.551135361004,99947.9312065559,40.8972523053656,18254.8816607008,,,,12874.2247584645,65.0919313202483,18195.2614582396,5321.0366997751,12933.8449609257,11478.4234012484,88.6572034341521,9651.59066049263,16799.4601010235,64.1669149976613,19633.9770888616,31112.4004901099,152.824118431814,23576.2989440765,87.0556181695247,7536.10154603347,49184.847698529,41740.1756308549,305.082801264469,392.138419433993,81985.8426312043,17962.0885753516,18195.2614582396,63757.0850050395,1455.42155967734,84.3084823425469,44039.9105294879,,17383,1701,64209,17944,36853,10345,263,36,75,373,,,,,,,5370.125,,,,37373.397230575,19.3877372464886,10305.3293479874,33.4961679252395,2.1092537692994,109599.521867049,601.78710416106,32.7491784224068,4401.74737072244,2682.79703400729,3723.20289830074,0,68158.832375762,18797.0485624007,924.853287308397,43.524341969164
23/05/2020,,,,,,,,,,,,,145.184029813304,100093.115236369,35.9684051578414,18290.8500658586,,,,12923.7182102716,65.5924712692836,18260.8539295089,5337.13571923724,12953.7143466214,11567.2634163888,88.8400151404531,9683.67473636096,16904.3991356261,61.1102338261662,19695.0873226877,31262.3507390766,149.950248966619,23635.6190877985,59.3201437219925,7626.73165127809,49183.4596375512,41997.1209355341,256.945304679147,316.265448401139,82366.9535613719,17726.1616749973,18260.8539295089,64074.0155559948,1386.45093023258,109.578180779702,44149.4887102676,,17178,1665,64547,17987,36853,10345,233,30,47,361,,,,,,,5393.3125,,,,37487.0042951221,14.0775060752928,10319.4068540627,32.0840758683304,1.8086442025118,109776.78997273,603.595748363572,27.634651703499,4429.38202242594,2524.13557332077,3723.20289830074,0,68503.3975784207,18864.4496778725,927.494067270716,36.4364103033456
24/05/2020,,,,,,,,,,,,,137.972789736953,100231.088026106,30.1297551962117,18320.9798210549,,,,12972.5742073802,64.7770969578856,18325.6310264668,5353.05681908653,12967.9230019683,11652.415179155,85.1517627661545,9713.15233166297,17005.4719982415,60.0471069804307,19755.1344296682,31407.5496088231,145.198869746585,23687.472760776,51.8536729775533,7720.07684804712,49182.3995680029,42228.3729569824,231.252021448354,283.105694425907,82710.3869285909,17520.7010975153,18325.6310264668,64355.2783068222,1315.50782281335,124.94470054972,44274.4334108174,,17185,1655,64617,18022,36853,10345,121,24,36,80,,,,,,,5416.4375,,,,37607.8848403936,9.61672392344963,10329.0235779861,29.4775953020054,1.51518784929687,109944.240357769,605.110936212868,23.4626318036373,4452.84465422958,2381.65283840052,3723.20289830074,0,68808.1229610517,18930.7419626796,931.993842919788,31.5990028506371
25/05/2020,,,,,,,,,,,,,140.119215826153,100371.207241932,24.9826703041506,18345.962491359,,,,13017.9373420468,60.3885547484135,18386.0195812152,5368.08223916838,12977.8802521906,11732.7430267579,80.3278476029692,9739.90762705651,17100.8252659263,58.4810343582496,19813.6154640264,31546.3584907844,138.808881961218,23771.5734295663,84.1006687902589,7774.78506121808,49193.6919445001,42456.8617797735,228.488822791028,312.589491581287,83077.3500114222,17293.8572305101,18386.0195812152,64664.5751348135,1245.13722543268,123.055186066374,44397.4885968837,,16798,1609,65199,18112,36853,10345,342,45,93,609,,,,,,,5444.0625,,,,37724.1115646565,7.53174920667918,10336.5553271928,26.7552953935392,1.28920038069095,110111.114868989,606.400136593559,20.7286428519901,4473.57329708157,2258.59965682871,3723.20289830074,0,69138.1484318951,18992.4197178088,936.731295080646,33.757907837789
26/05/2020,,,,,,,,,,,,,144.60461965767,100515.81186159,21.7776044719957,18367.740095831,,,,13056.8881495435,52.5534187008632,18438.5729999161,5381.68485037252,12986.0552454585,11811.4379104634,78.6948837054885,9764.9458822038,17193.122760836,54.5296697404874,19868.1451337669,31679.5830442303,133.224553445975,23929.6211476033,158.047718037044,7749.96189662701,49223.0384824486,42694.4712637924,237.609484018971,395.657202056015,83519.5339796376,16996.2778819524,18438.5729999161,65055.9227245743,1174.61733499505,107.14447436007,44504.6330712438,,16264,1555,65879,18195,37235,10335,318,37,92,718,,,,,,,5478.4375,,,,37821.0502508889,7.90447282485476,10344.4598000176,25.0382551472981,1.15076536758492,110280.757743794,607.550901961144,19.1901658094179,4492.76346289098,2156.25292706854,3723.20289830074,0,69548.6861874652,19046.1239018772,941.428619050941,44.2454180580759
27/05/2020,,,,,,,,,,,,,144.74592104089,100660.557782631,20.6959184605429,18388.4360142915,,,,13088.2890013181,43.5375552238346,18482.1105551399,5393.82155382181,12994.6144604697,11886.890185863,75.4522753995537,9789.76943457168,17280.7117396848,47.9578735437885,19916.1030073107,31802.9931931737,123.410148943341,24182.0198037121,252.398656108764,7620.97338946159,49267.7297597106,42942.1417617602,247.670497967743,500.069154076507,84057.2925996,16603.2651830309,18482.1105551399,65550.3584920923,1107.72427460674,87.5450742276758,44592.1781454715,,15680,1501,66584,18260,37235,10336,271,32,67,736,,,,,,,5515.1875,,,,37891.4377812654,9.5411980341298,10354.0009980518,24.8235523678793,1.07487888498235,110450.327217203,608.625780846127,18.2229173267147,4510.9863802177,2074.11059433474,3723.20289830074,0,70061.34487231,19090.736335986,946.954375207123,57.246744575179
28/05/2020,,,,,,,,,,,,,138.462001709757,100799.019784341,21.017882373923,18409.4538966655,,,,13113.4197779292,36.1995694482242,18518.3101245881,5404.89034665891,13004.5635500066,11961.4707198295,74.5805339665577,9815.49022819134,17366.3610664885,40.1730069282822,19956.276014239,31917.7467340685,114.75354089484,24516.8443138988,334.824510186718,7400.90242016971,49319.870095507,43197.7415720157,255.599810255535,590.424320442254,84677.3158544494,16121.7039298913,18518.3101245881,66133.2849362416,1043.09283017701,74.7839683749099,44666.9621138464,,15208,1429,67191,18326,37235,10336,253,36,69,621,,,,,,,5549.8125,,,,37939.5214008826,10.883118826319,10364.8841168781,25.7207936196589,1.0204607901168,110614.510012532,609.646241636244,17.1805511162656,4528.16693133396,2009.95107826486,3723.20289830074,0,70661.4518675756,19127.9563662244,954.474156920399,67.1714117456369
