Date,PC,PC_recal,Reff,Reff2,rien,rien,rien,rien,rien,Ei,Es,Ai,A,li,Ps,Ps_liss,P(tous),P(SPF)
06/06/2020,,,,,,,,,,,156109.18608439,,5440.92015946801,270.672735660845,147637.01269983,147650.475249061,,
07/06/2020,,,,,,,,,,,156470.636446708,,5653.99809488684,271.190099623967,147797.491017539,147851.275601369,,
08/06/2020,,,,,,,,,,,156805.931038295,,5958.68603683147,387.784653384071,148068.1637532,148100.820859712,,
09/06/2020,,,,,,,,,,,157363.041190576,,6229.19960918146,344.290001172721,148339.353852824,148391.511517097,,
10/06/2020,,,,,,,,,,,157913.659717793,,6436.72980994199,264.129346422493,148727.138506208,148710.596022818,,
11/06/2020,,,,,,,,,,,158691.38494771,,6581.4891150254,184.239115560704,149071.428507381,149013.721768138,,
12/06/2020,,,,,,,,,,,159374.316195819,,6740.52727444537,202.412202898141,149335.557853803,149286.757371599,,
13/06/2020,,,,,,,,,,,159893.14169772,,6888.05689474378,187.764971288887,149519.796969364,149515.378161251,,
14/06/2020,,,,,,,,,,,160251.937164979,,7133.18536174742,311.981685277363,149722.209172262,149735.226956647,,
15/06/2020,,,,,,,,,,,160643.17497309,,7375.45751372295,308,149909.974143551,149969.470708882,156805.931038295,157372
16/06/2020,,1.06,3.6551724137931,,,,,,,,161004,,7958.75143616048,194,150221.955828829,150221.609837557,157363.041190576,157716
17/06/2020,,1.06,3.6551724137931,,,,,,,,161600,,8470.94987224206,171,150530.30220407,150469.439840834,157913.659717793,158174
18/06/2020,,1.05,3.62068965517241,,,,,,,,162186,,8860.06899866806,130,150724.733511549,150690.749763207,158691,158641
19/06/2020,,1.05,3.62068965517241,,,,,,,709.103448275861,162895.103448276,,9129.16559911206,90,150895.466323576,150865.85224757,159374,159452
20/06/2020,,1.05,3.62068965517241,,,,,,,625.03448275862,163520.137931034,,9422.59395519586,98,151025.172699052,151000.466680245,159893,160093
