Date,PC,PC_recal,Reff,Reff2,rien,rien,rien,rien,rien,Ei,Es,Ai,A,li,Ps,Ps_liss,P(tous),P(SPF)
06/03/2021,,,,,,,,,,,3936495.63532308,,2256416.66687471,7468.01427059577,1525832.16789197,1525977.30203035,,
07/03/2021,,,,,,,,,,,3958738.46702699,,2270676.6269754,8752.6606751208,1533111.31226305,1533586.93637586,,
08/03/2021,,,,,,,,,,,3982924.09591448,,2284155.07609258,8691.33800903207,1541272.8931214,1541658.953344,,
09/03/2021,,,,,,,,,,,4010526.72094902,,2297040.28622197,8466.98580445129,1549905.67681986,1550044.56521398,,
10/03/2021,,,,,,,,,,,4038204.92222449,,2310028.67928864,8434.06155397397,1558364.51526835,1558388.0517213,,
11/03/2021,,,,,,,,,,,4066736.45453196,,2323016.71385679,8439.80630464404,1566831.5010728,1566817.02353422,,
12/03/2021,,,,,,,,,,,4095480.41180442,,2336464.55133409,8737.19969407824,1575265.56262677,1575306.21630767,,
13/03/2021,,,,,,,,,,,4124199.61997174,,2350746.12336089,9270.50678093479,1583705.36893142,1583931.07303149,,
14/03/2021,,,,,,,,,,,4152927.16035901,,2366015.02583665,9896.75803160037,1592442.56862549,1592841.17140322,,
15/03/2021,,,,,,,,,,,4182537.62239545,,2382273.50380565,10517.7164846764,1601713.07540643,1602191.09610889,3981707.64359898,3950186
16/03/2021,,,1.23738892686261,3.34429439692597,,,,,,,4213718.40426305,,2399074.17927164,10841.9822768385,1611609.83343803,1612056.10081354,4007997.19660464,3980944
17/03/2021,,,1.21601913875598,3.286538212854,,,,,,,4246676.84901294,,2416051.07325895,10922.7037635364,1622127.54992271,1622389.92281018,4037564.24263877,4011383
18/03/2021,,,1.19243654591023,3.22280147543305,,,,,,,4281294.26958206,,2433076.26140391,10913.2991035831,1632969.53219954,1633088.47702511,4066736.45453196,4042588
19/03/2021,,,1.16698291182502,3.15400786979735,,,,,,36258.7805800017,4317553.05016206,,2450265.77797955,10954.5321171623,1643921.05793846,1644027.64390164,4095480.41180442,4075788
20/03/2021,,,1.14,3.08108108108108,,,,,,35897.8833065466,4353450.93346861,,2468007.42961088,11219.0258269559,1654914.08125198,1655145.5750188,4124199.61997174,4096520
21/03/2021,,,1.11182957393484,3.00494479441849,,,,,,35171.3964528698,4388622.32992148,,2486757.6173164,11744.7308459017,1665999.23981363,1666154.43634158,4152927.16035901,4101528
22/03/2021,,,1.05,2.83783783783784,,,,,,34550.6805074777,4423173.01042896,20615.5071910561,2507373.12450746,12194.6245574593,1677218.26564059,1677564.51257533,4182546.63866396,4148467
23/03/2021,,,1,2.7027027027027,,,,,,34566.7282235938,4457739.73865255,21808.9749585456,2529182.099466,12808.4456105744,1688962.99648649,1689350.73278113,4213614.70409519,4186555
24/03/2021,,,0.95,2.56756756756757,,,,,,35292.2678172386,4493032.00646979,23023.3714898649,2552205.47095587,13415.7488146007,1701157.62104395,1701615.5597013,4246353.264919,4223691
25/03/2021,,,0.95,2.56756756756757,,,,,,34606.3669873844,4527638.37345717,22794.2112185171,2574999.68217438,13282.2168234221,1713966.06665452,1714338.33097967,4281294.26958206,4261918
26/03/2021,,,0.613325029746082,1.65763521552995,,,,,,34617.4205691199,4562255.79402629,24253.4273056242,2599253.10948001,13013.416687562,1727381.81546912,1727363.4070547,4317553.05016206,4301850
27/03/2021,,,0.696611528822055,1.88273386168123,,,,,,34445.8415510018,4596701.6355773,23188.9196615659,2622442.02914157,12783.7517877666,1740664.03229254,1740477.74695448,4353450.93346861,4326980
28/03/2021,,,0.768397660818714,2.07675043464517,,,,,,34102.9891412189,4630804.62471851,22761.6096702489,2645203.63881182,12789.6894427297,1753677.44898011,1753525.06474722,4388622.32992148,4332102
29/03/2021,,,0.829316219842536,2.24139518876361,,,,,,21571.4977756679,4652376.12249418,22920.5385131531,2668124.17732498,13058.1390923782,1766461.20076787,1766469.7102739,4423173.01042896,4385232
30/03/2021,0.88,0.88,0.88,2.37837837837838,,,,,,24068.4023701562,4676444.52486434,22247.9614311854,2690372.13875616,12804.3557853324,1779250.8902106,1779349.7085137,4457739.73865255,4428786
31/03/2021,,,0.921081795397585,2.48941025783131,,,,,,26560.9931091657,4703005.5179735,22089.2636076994,2712461.40236386,12808.4456105744,1792309.02930298,1792221.07186016,4493032.00646979,4468415
01/04/2021,,,0.953194400141769,2.57620108146424,,,,,,29268.4501358625,4732273.96810937,21860.7199822106,2734322.12234607,12744.9613738708,1805113.38508831,1805070.10606611,4527638.37345717,4507921
02/04/2021,,,0.97697060833903,2.640461103619,,,,,,30453.6029488987,4762727.57105826,21560.8502021169,2755882.97254819,12618.1059822511,1817921.83069889,1817872.55064248,4562255.79402629,4546614
03/04/2021,,,0.993043214095846,2.68390057863742,,,,,,31885.4758898383,4794613.0469481,13604.324400715,2769487.2969489,7981.45417699726,1830666.79207276,1829931.91637095,4596701.6355773,4570934
04/04/2021,,,1.0020450115187,2.70822976086134,,,,,,32833.5832745859,4827446.63022269,15158.4516806304,2784645.74862953,8905.30887695764,1843284.89805501,1841080.42919643,4630804.62471851,4575866
