Date,rien,rien,rien,rien,rien,rien,rien,rien,P(tous),A,P(SPF),Pi,Hi,His,Ci,Cis,Date,CDi,HDi,HDs,Di,D,CDs,C2Os,COis,COi,OBs,Cos,HOi,HOis,Ois,Oi,Oos,Oo,O,H2Rs,HRs,HRi,Ri,Hos,H,D,R,C,Mi,M,Oref,Href,Cref,Rref,Dref,Vref,Wref,Hiref,Ciref,Diref,Riref,Hsref,Csref,Rsref,Dsref,Tous,dTous,sref,1a0,0a1,Vi,Vs,VDi,VD,Bi,BDi,HsBs,BDs,BFi,F,BRstemp,BRs,BRi,FR,DD,Bio,eHB
18/11/2020,,,,,,,,,,,,,1907.54053570818,211998.747358911,347.433688116473,35482.5206746066,,,,23475.2730804041,432.590626410231,32495.9519365542,9020.67885615003,26461.8418184566,21343.8130001033,237.079081950389,13116.6158778375,30364.4918562534,249.398200914048,28935.64561967,50279.4586197732,486.477282864435,45479.8331734836,247.175971509278,4799.62544628962,124105.30798423,103727.558764049,1611.92365761007,1859.09962911934,179916.224210114,32082.5231487966,32495.9519365542,147344.132128443,5118.02881835325,7750.0417821369,677749.610391096,,32842,4775,145391,32168,101482,14530,2435,361,427,2294,226000,36526,152218,32991,,,,,,,101851.267486933,195.953642623736,14818.9513944378,76.1401451172005,10.7722532313339,225115.363236748,828.872052364549,54.4389805489279,6546.95269128922,3686.04003020574,4605.43436897814,0,153735.676830702,33324.8239889187,1135.35676520563,266.690543505146
19/11/2020,,,,,,,,,,,,,1928.47367102487,213934.94450816,348.344612342025,35835.177366131,,,,23757.48820212,434.67584676769,32929.9497900091,9172.46158788906,26662.7157782419,21574.1758007757,231.824880905993,13191.3501275966,30746.6373886648,253.615203150696,29191.5232340429,50765.6990348185,485.440084056689,45741.6297913108,259.925999021792,5024.06924350771,125150.755705866,105202.166281883,1502.08081046321,1762.006809485,182068.925920927,31866.0185872337,32929.9497900091,149063.695034266,5088.53997746618,6518.36526151543,683964.109275865,,32345,4653,147569,32597,101482,14530,2221,311,436,2230,228221,36837,154448,33427,,,,,,,103579.351674294,214.131395898605,15033.0827903364,73.9527575459688,12.2401883530347,227127.750442901,841.112240717584,57.4606489458659,6604.41334023509,3637.59089760367,4605.43436897814,0,155530.312636476,33766.9428304309,1139.6086854527,256.977974312212
20/11/2020,,,,,,,,,,,,,1864.02083804509,215788.145595844,318.109445357524,36143.7703252662,,,,24029.5988737035,417.489299036948,33345.1134096097,9315.51453590619,26828.2557893601,21811.2045716851,236.228153746515,13269.7325717746,31126.7191075913,252.083330488972,29443.6738995056,51254.8784711905,488.311484235487,46028.7526000762,280.012547622073,5226.12587111431,126171.102497369,106575.610535889,1407.25346857678,1687.26601619885,184122.432908693,31665.7126871508,33345.1134096097,150699.607074825,5017.05121767496,5496.14284523507,689079.0082513,,31906,4582,149521,32978,107460,15287,1968,264,386,1970,230189,37101,156418,33813,,,,,,,105147.752421719,223.814336219075,15256.8971265555,77.0787263981929,13.9079471695211,229134.314420478,855.020187887105,54.7469741902379,6659.16031442532,3591.75828988009,4605.43436897814,0,157240.991274386,34227.2062319427,1148.03249049114,244.807195083538
21/11/2020,,,,,,,,,,,,,1702.17310267343,217409.569914456,297.117406112824,36424.0640901858,,,,24265.1685780264,382.724956434195,33708.2662387713,9443.09766074482,26980.966429441,22053.2434879582,240.02114975772,13350.29127558,31496.341148703,238.917692705424,29676.7107045176,51729.9541924757,478.938842463146,46324.8933673373,287.207511027589,5405.0608251384,127043.626541726,107846.508116685,1327.56850816289,1614.77601919048,186023.454251093,31386.1156633627,33708.2662387713,152235.916280362,4927.72294148282,5046.13904196206,693644.965812926,,31197,4509,151177,33231,107460,15287,1515,220,276,1687,231704,37321,158105,34089,,,,,,,106638.735554439,210.57970670892,15467.4768332644,81.0544152970651,15.2403714654381,231002.021564576,870.260559352543,55.2435503087961,6714.40386473412,3545.32558018299,4605.43436897814,0,158889.778764233,34630.6522753992,1158.60298401397,439.993151251912
22/11/2020,,,,,,,,,,,,,1549.62514333778,218959.195057794,282.369293419242,36706.4333836051,,,,24496.3603924467,355.525704905934,34063.7919436772,9567.43155123051,27139.0018323746,22295.6682439546,242.424755996473,13429.9290724699,31863.0997951852,225.853973514325,29902.564678032,52198.2329219865,468.278729510798,46614.9035158414,290.010148504084,5583.32940614511,127853.83660371,109092.478166641,1245.9700499558,1535.98019845988,187885.51676055,31073.6782972434,34063.7919436772,153742.087019983,4843.3335884199,4692.07339858979,698337.039211516,,31554,4509,151681,33445,107460,15287,906,171,215,513,232610,37492,158618,34304,,,,,,,108271.682576304,183.714944421383,15651.1917776858,83.0725218651769,15.5333771897727,232652.601070336,885.793936542316,59.4446192743615,6773.84848400848,3494.82520927947,4605.43436897814,0,160477.66706912,34983.7918218023,1166.69750941501,193.454006576507
23/11/2020,,,,,,,,,,,,,1387.32990876057,220346.524966554,271.781583211065,36978.2149668161,,,,24713.4538155594,333.250595061651,34397.0425387389,9683.58872317943,27294.6262436367,22540.5468156656,244.878571710938,13508.165247893,32224.135538845,212.226718652017,30114.791396684,52655.3382123495,457.105290362955,46902.8912257594,287.987709918002,5752.44698659007,128540.064787495,110265.361609329,1172.88344268797,1460.87115260597,189648.646168097,30697.8787984568,34397.0425387389,155173.367453936,4754.07942797111,4578.09664051082,702915.135852027,,31481,4454,152592,33945,107460,15287,1380,244,501,960,233990,37736,159578,34805,,,,,,,110056.110875459,152.673978507279,15803.8657561931,78.8816281693016,15.0919946076236,234060.476811994,900.885931149939,63.6117443494686,6837.46022835795,3440.93305697885,4605.43436897814,0,161988.298063668,35310.8744012685,1166.87539862722,121.664373014831
24/11/2020,,,,,,,,,,,,,1248.43774675757,221594.962713312,264.320225039947,37242.5351918561,,,,24921.0496347999,318.311307044255,34715.3538457831,9794.30421098318,27448.2309808729,22789.5611033279,249.014287662304,13583.3597709604,32583.8653143111,201.692352442316,30316.4837491263,53106.0448524541,450.70664010462,47188.0975443739,285.206318614502,5917.94730808019,129114.894137529,111384.878435515,1119.51682618611,1404.72314480061,191341.858266761,30253.1044465504,34715.3538457831,156551.309897911,4658.669877545,4558.39236772664,707473.528219753,,30622,4289,154679,34399,112080,15838,1786,270,457,2135,235776,38006,161713,35262,,,,,,,111921.230343951,133.66274718202,15937.5285033751,81.8673888429603,16.0889817048424,235297.128563288,916.974912854782,65.9185797631444,6903.3788081211,3383.09308086995,4605.43436897814,0,163392.114573425,35629.5260248438,1166.73522600219,108.885965876712
25/11/2020,,,,,,,,,,,,,1154.7142302566,222749.676943568,254.351259483729,37496.8864513398,,,,25123.0068236932,310.97639076,35026.3302365431,9903.3234128499,27593.5630384899,23043.0744980894,253.513394761543,13653.6732769709,32946.3979109394,194.129702293618,30510.6134514199,53553.6879495092,447.643097055162,47475.9820352478,287.884490873947,6077.7059142614,129619.170217115,112483.083155064,1098.20471954946,1386.0892104234,193012.41258768,29737.2643558884,35026.3302365431,157915.768845127,4550.48854040046,4471.50596223611,711945.034181989,,29972,4148,156552,34780,112080,15838,1677,258,384,1929,237453,38264,163642,35646,,,,,,,113676.061233192,126.498058876105,16064.0265622512,70.2615443512823,15.4839927002693,236437.450262729,932.458905555051,62.5683475191052,6965.9471556402,3329.19942007064,4605.43436897814,0,164721.914018677,35954.6930030523,1158.9444301341,68.1084142256987
26/11/2020,,,,,,,,,,,,,1146.27418430104,223895.951127869,239.025974600813,37735.9124259406,,,,25322.0669820357,309.553967346686,35335.8842038898,10013.8172218541,27722.0952040865,23309.8969237548,266.822425665382,13719.023538428,33323.714145609,190.759544472688,30701.3729958926,54011.2699196473,457.581970138071,47781.9808885995,305.998853351611,6229.28903104786,130136.598724,113618.455154249,1135.37199918477,1441.37085253638,194741.65949299,29154.2916348789,35335.8842038898,159340.425027644,4412.19828033168,4182.50016697466,716127.534348964,,29310,4018,158236,35119,112080,15838,1460,192,340,1729,238913,38456,165371,35986,,,,,,,115207.01910337,133.889694684623,16197.9162569358,61.7219162735528,15.7838715167989,237570.68920722,948.24277707185,56.5895520299676,7022.53670767017,3282.57817349681,4605.43436897814,0,166091.7840852,36291.8848535291,1148.29292286089,75.1703694689459
27/11/2020,,,,,,,,,,,,,1197.68158287132,225093.632710741,219.059788117283,37954.9722140579,,,,25516.0015241509,306.273690143147,35642.1578940329,10126.156369882,27828.8158441759,23589.2275434141,279.330619659241,13780.5051332598,33715.3839132961,187.259481161405,30888.632477054,54477.860020468,466.590100820647,48104.4488318935,322.467943294021,6373.41118857448,130734.026495478,114826.581438554,1208.12628430496,1530.59422759898,196560.712188646,28532.9205220945,35642.1578940329,160857.072699782,4239.5883007618,3724.0227046803,719851.557053644,,28648,3883,159915,35512,116240,16402,1471,206,396,1720,240384,38662,167091,36382,,,,,,,116479.302257597,142.762351216906,16340.6786081528,57.5700045694957,17.1592715431147,238722.262151347,965.402048614964,54.7306550835809,7077.26736275375,3239.31988028738,4605.43436897814,0,167625.134480883,36620.5197908604,1133.97300080369,51.7596364425663
