Date,rien,rien,rien,rien,rien,rien,rien,rien,P(tous),A,P(SPF),Pi,Hi,His,Ci,Cis,Date,CDi,HDi,HDs,Di,D,CDs,C2Os,COis,COi,OBs,Cos,HOi,HOis,Ois,Oi,Oos,Oo,O,H2Rs,HRs,HRi,Ri,Hos,H,D,R,C,Mi,M,Oref,Href,Cref,Rref,Dref,Vref,Wref,Hiref,Ciref,Diref,Riref,Hsref,Csref,Rsref,Dsref,Tous,dTous,sref,1a0,0a1,Vi,Vs,VDi,VD,Bi,BDi,HsBs,BDs,BFi,F,BRstemp,BRs,BRi,FR,DD,Bio,eHB
01/12/2020,,,,,,,,,2249861.7161968,1289542.14006801,2230571,3817.55053295335,1317.36495110903,230611.421418118,160.727554232578,38669.2800534373,,95.6546162899888,151.987121785726,26220.5551933195,247.641738075715,36784.4435704736,10563.8883771541,28105.3916762832,24673.5538328161,196.276155467353,14008.9401700794,35237.4422099702,138.574123494085,31561.8396359741,56235.3934687902,334.850278961443,49332.2297030505,215.214710874367,6903.16376573967,134159.746535387,119979.496076216,1039.94645874966,1255.16116962403,203953.699773857,26657.7216442612,36784.4435704736,167115.65662152,3431.83784346705,2500.18558184432,730649.509889838,,27639,3605,164029,36692,119716,16814,1572,234,365,1768,244841,39316,171290,37566,2250749.4717941,-0.0394582294062723,8346,0.866666666666667,0.133333333333333,1189.68626014088,120952.742690594,87.6785042155681,16806.7543437594,53.5995818640404,17.0377145896677,244620.361588198,1039.05920278742,51.0642816371511,7258.50092499118,3194.15161118834,4605.43436897814,0,174374.157546511,37823.502773261,1105.94567332264,-18.446598313818
02/12/2020,,,,,,,,,2261548.13639473,1297174.69771043,2244635,4081.18917853874,1169.82751614465,231781.248934263,164.100440933645,38833.3804943709,,90.2697671649706,156.06327277515,26376.6184660946,246.33303994012,37030.7766104137,10654.158144319,28179.2223500519,24836.360376799,162.806543982908,14065.3704214996,35490.5185211181,128.407218610788,31690.2468545849,56526.6072313839,291.213762593696,49504.5946474712,172.364944420704,7022.01258391266,134881.003119212,120825.358443528,845.862367312046,1018.22731173275,205215.724825303,26565.5241089598,37030.7766104137,168128.517963469,3342.86197325282,2911.3616623941,733560.871552232,,27013,3488,165563,37002,119716,16814,1253,161,312,1549,246094,39477,172839,37878,2262460.38794551,-0.040337481042316,8364,0.8,0.2,1222.7306392752,122175.47332987,57.5440242244838,16864.2983679838,56.4302514202227,16.6571558950029,245846.619355762,1055.71635868242,51.5049635564097,7310.00588854759,3211.05757336777,4605.43436897814,0,175438.523852017,38086.4929690961,1094.21380529144,-40.2196938390334
03/12/2020,,,,,,,,,2274115.68108047,1303430.01510557,2257331,4283.7821835865,1121.81059270064,232903.059526963,165.417270263292,38998.7977646342,,90.7989294997095,166.164872744341,26542.783338839,256.963802244051,37287.7404126577,10744.9570738187,28253.8406908155,24998.7126499077,162.352273108685,14113.2142095852,35743.6697237265,128.582043386062,31818.828897971,56817.5415478786,290.934316494749,49686.8814937305,182.286846259311,7130.6600541481,135542.649525519,121610.354687184,784.996243655725,967.283089915036,206435.046429598,26468.0130973652,37287.7404126577,169099.462228855,3255.12804090772,3161.97159088586,736722.843143118,,26703,3425,166940,37326,119716,16814,1450,184,326,1403,247544,39661,174242,38204,2273008.07398756,0.0487049582447543,8395,0.733333333333333,0.266666666666667,1131.14607690741,123306.619406777,58.3280494553867,16922.6264174392,47.8437880855799,15.2280290234401,247016.273736549,1070.94438770586,48.117793183274,7358.12368173087,3240.59050278708,4605.43436897814,0,176457.585910586,38358.6848003636,1078.71177117031,-41.8354529011758
04/12/2020,,,,,,,,,2286378.32308688,1309112.28836385,2268552,4200.19323881681,1171.98801361668,234075.04754058,257.700466515746,39256.4982311499,,92.2694797536582,174.177298914713,26716.9606377537,266.446778668372,37554.1871913261,10837.2265535724,28419.2716775775,25146.651887289,147.939237381259,14154.7864466334,35983.8784408614,131.280352746916,31950.1092507179,57096.7611380068,279.219590128174,49900.3126461904,213.43115245986,7196.44849181642,136151.479420959,122529.517905837,919.163218653281,1132.59437111314,207834.361584477,26240.6859561026,37554.1871913261,170238.602156103,3272.61979028854,3028.20522520013,739751.048368318,,26311,3293,168352,37608,123298,17159,1400,165,284,1434,248944,39826,175676,38488,2282896.8120357,0.152271871020721,8469,0.666666666666667,0.333333333333333,974.940783801786,124281.560190579,68.7551035007187,16991.3815209399,41.5722370482254,14.7905515091938,248229.833987214,1085.73493921506,49.1204333057762,7407.24411503664,3280.50549334939,4605.43436897814,0,177645.84627114,38639.9221305412,1056.37302340356,5.38286155979404
05/12/2020,,,,,,,,,2296491.46979155,1314812.90243637,2281475,3928.65494879649,1252.92507781139,235327.972618392,229.962927742918,39486.4611588929,,91.8434979561089,293.5092365901,27010.4698743438,385.352734546209,37939.5399258723,10929.0700515285,28557.3911073644,25323.6690246435,177.017137354538,14193.3086122166,36252.739076172,132.333816210634,32082.4430669285,57406.112091572,309.350953565176,50148.0479145202,247.735268329772,7258.06417705182,136748.598518226,123428.896438741,899.378532903385,1147.11380123316,209374.376316514,25953.5963018772,37939.5399258723,171396.314225059,3233.72208272081,2675.7298709851,742426.778239303,,26070,3230,169358,37822,123298,17159,1019,125,216,1041,249963,39951,176717,38704,2292529.13112848,0.172538792988718,8472,0.6,0.4,797.077311050619,125078.637501629,80.0624457158376,17071.4439666558,38.5221655832356,15.4157452796386,249521.281230608,1101.1506844947,41.4543111672566,7448.6984262039,3335.7516847334,4605.43436897814,0,178845.012651263,39040.690610367,1038.02513253991,-14.7235587438045
06/12/2020,,,,,,,,,2305721.84382415,1319356.85392172,2292497,3555.01765439427,1315.12113036106,236643.093748753,197.604742666355,39684.0659015592,,85.0446698909438,260.789660720967,27271.2595350648,345.834330611911,38285.3742564842,11014.1147214194,28669.9511801398,25509.9451042055,186.276079561965,14231.8832252325,36524.059825625,206.160373212597,32288.6034401411,57798.5485443465,392.436452774564,50407.2241956638,259.176281143627,7391.32434868276,137399.164871987,124268.698057764,839.801619023114,1098.97790016674,210822.120692877,25820.9730558755,38285.3742564842,172498.171823377,3160.00607593427,2239.89652403321,744666.674763336,,26293,3220,169586,37996,123298,17159,627,101,175,236,250590,40052,176953,38879,2300628.04782079,0.220919796418687,8465,0.533333333333333,0.466666666666667,523.127492949853,125601.764994579,86.9542187493612,17158.3981854051,38.5746130158186,16.210883059413,250874.976973985,1117.36156755411,35.7987114386606,7484.49713764256,3404.13532872734,4605.43436897814,0,179982.66896102,39402.7358240383,1024.59015105765,-44.0872887002097
07/12/2020,,,,,,,,,2315014.38610724,1325370.84654549,2295908,3357.70110526786,1289.45932431676,237932.553073069,175.474127421697,39859.5400289809,,74.613332433405,219.761105406526,27491.0206404713,294.374437839931,38579.7486943242,11088.7280538529,28770.8119751281,25682.7021174457,172.757013240178,14271.2673310565,36771.4301712985,183.970342194334,32472.5737823355,58155.275899781,356.727355434508,50650.9633429263,243.739147262509,7504.31255685476,138109.418621282,125005.07325912,736.37520135587,980.114348618379,212093.833577758,25838.7194953111,38579.7486943242,173474.70077761,3088.10985768238,2068.2417809511,746734.916544287,,26365,3198,170285,38362,123298,17159,1206,203,366,706,251796,40255,177659,39245,2309998.93205702,0.216648936624887,8527,0.466666666666667,0.533333333333333,530.25499504897,126132.019989628,83.2756436930035,17241.6738290981,39.3841058240741,16.6145043730354,252203.820404126,1133.97607192714,32.8149026046126,7517.31204024717,3484.30186460909,4605.43436897814,0,180992.012817857,39713.7247662513,1014.54484990408,-4.85689015124808
08/12/2020,,,,,,,,,2322439.5533128,1332648.66481014,2309621,3420.04046331614,1206.09706928052,239138.65014235,168.271588905096,40027.811617886,,63.2601198020457,191.08814429009,27682.1087847614,254.348264092136,38834.0969584163,11151.9881736549,28875.8234442311,25835.1132751674,152.411157721741,14310.9674759197,36987.1014488223,158.083794133084,32630.6575764685,58465.7708516359,310.494951854824,50885.5796558993,234.616312973048,7580.19119573653,138798.072163234,125688.747220025,683.673960904853,918.290273877901,213259.902912509,25878.7472298411,38834.0969584163,174386.105809229,3040.71016906368,2213.94339403561,748948.859938323,,25914,3088,171868,38739,126828,17613,1597,214,380,1620,253393,40469,179279,39625,2320696.47474594,0.0750537754307603,8575,0.4,0.6,625.046395461079,126757.066385089,73.5825714520903,17315.2564005502,39.7001448631909,15.7763256338603,253449.61761827,1149.752397561,32.0466809998974,7549.35872124707,3575.52418349146,4605.43436897814,0,181935.464530477,39983.8493559773,1006.42198813351,19.2192906194214
09/12/2020,,,,,,,,,2332282.08514923,1340811.80568385,2324216,3772.26421746134,1091.39041989904,240230.040562249,175.798202042502,40203.6098199285,,58.894002484986,181.714731263096,27863.8235160245,240.608733748082,39074.7056921644,11210.8821761399,28992.7276437886,25959.4141510341,124.300875866738,14372.8155878835,37170.296327174,140.379301937358,32771.0368784059,58730.45102944,264.68017780409,51115.127253011,229.547597111639,7615.32377642898,139391.57034789,126337.594537291,648.847317266074,878.394914377714,214371.253096771,25858.7874654776,39074.7056921644,175234.699292643,3033.31349275447,2680.8737975623,751629.733735885,,25558,3041,173247,39035,126828,17613,1380,170,296,1423,254773,40639,180702,39921,2332609.73187002,-0.0140483315837561,8592,0.333333333333333,0.666666666666667,727.840415598524,127484.906800688,61.5971544109132,17376.8535549612,61.8481119637781,16.3734777685921,254602.856150132,1166.1258753296,31.9841684020032,7581.34288964907,3674.73297403553,4605.43436897814,0,182816.042182292,40240.831567494,1019.91245392669,-9.25534357576544
10/12/2020,,,,,,,,,2344202.23375112,1349051.43389578,2337966,4206.2117339262,1030.81423931723,241260.854801566,187.938761671709,40391.5485816002,,54.5730679095849,173.714633949177,28037.5381499736,228.287701858762,39302.9933940231,11265.4552440495,29126.0933375508,26084.3344514664,124.920300432259,14428.0066905418,37349.7896955159,134.617271124077,32905.65414953,58989.9886009963,259.537571556342,51295.2725380904,180.145285079387,7694.71606290594,139926.113920462,127011.927373968,674.332836677058,854.478121756445,215424.154976825,25836.6998247414,39302.9933940231,176065.970480143,3041.75888608432,3175.39749460897,754805.131230494,,25231,2959,174658,39327,126828,17613,1445,191,297,1438,256218,40830,182140,40218,2345062.22882519,-0.0366860444752811,8629,0.266666666666667,0.733333333333333,790.492897721466,128275.399698409,56.8766489761552,17433.7302039373,55.1911026583002,14.0523088702565,255688.861492108,1180.17818419985,31.2576610690958,7612.60055071817,3781.07194553026,4605.43436897814,0,183678.571030862,40483.171578223,1029.79358664564,-13.3941373638081
