Date,rien,rien,rien,rien,rien,rien,rien,rien,P(tous),A,P(SPF),Pi,Hi,His,Ci,Cis,Date,CDi,HDi,HDs,Di,D,CDs,C2Os,COis,COi,OBs,Cos,HOi,HOis,Ois,Oi,Oos,Oo,O,H2Rs,HRs,HRi,Ri,Hos,H,D,R,C,Mi,M,Oref,Href,Cref,Rref,Dref,Vref,Wref,Hiref,Ciref,Diref,Riref,Hsref,Csref,Rsref,Dsref,Tous,dTous,sref,1a0,0a1,Vi,Vs,VDi,VD,Bi,BDi,HsBs,BDs,BFi,F,BRstemp,BRs,BRi,FR,DD,Bio,eHB
16/02/2021,,,,,,,,,,,,,1292.92214238531,329259.755997495,267.154591286664,55103.5413261053,,,,42267.8514805485,296.948219787183,58303.8660657133,16036.0145851647,39067.5267409407,35726.4175146552,198.05308868354,,51762.4320998199,208.469266754359,43746.8992124671,79473.3167271223,406.522355437904,72407.6109881845,359.435329872038,7065.70573893776,188141.463978374,176092.948088112,672.599597776862,1032.0349276489,303955.109979963,25304.6460175321,58303.8660657133,245831.605516947,3341.10922628545,5044.72871298665,1068445.53161398,,26239,3348,244238,58578,186226,24234,1857,323,352,1740,349369,55414,253246,59634,,,10250,,,,185402.582479705,66.4662053812742,23946.7491424588,53.1960416948968,0,347156.482081549,1386.18822352048,19.8852848064799,9197.511269136,6093.57350080033,6093.57350080033,43.4269604264555,255029.116786083,59690.0542892338,1219.45309059677,-166.964359732765
17/02/2021,,,,,,,,,,,,,1294.08013848376,330556.6248457,245.990294737064,55341.7519821444,,,,42461.4762478657,274.864347383392,58572.7871227507,16111.3108748849,39230.4411072595,35918.0047614213,191.891727905566,,52029.3156363062,199.662979835661,43944.7727585286,79862.7775199499,391.554707741234,72765.0675952132,357.02662483084,7097.70992473672,188808.623857162,176849.284814183,738.208241825472,1095.23486665631,305348.708140516,25207.9167051844,58572.7871227507,246956.124603213,3312.43634583817,4847.28563031911,1073230.22175066,,25974,3350,245737,58888,186226,24234,1559,311,311,1525,350928,55725,254771,59945,,,10238,,,,185866.146462728,62.8757612230677,24008.8817997459,53.3540589442955,0,348506.323168532,1386.18822352048,19.5751578206708,9216.97692754188,6138.81168294392,6138.81168294392,44.7429360169867,256173.101530754,59958.9753462712,1207.72148882564,-178.948416367518
18/02/2021,,,,,,,,,,,,,1256.4410313779,331803.265792735,249.950248779608,55591.6555708314,,,,42632.3001183796,251.771418260823,58816.4952455877,16184.195127208,39407.4604436235,36091.0351322165,177.804248351934,,52275.2302594244,187.859063254674,44128.9553094265,80219.9904416429,365.66331160661,73102.5121729894,341.946842468174,7117.47826865355,189450.354794097,177633.327080123,769.560732474078,1111.50757494225,306723.693495619,25079.572297115,58816.4952455877,248084.699207784,3316.425311407,4951.40030017938,1078185.23577119,,25762,3394,247127,59159,186226,24234,1490,262,272,1411,352418,55987,256182,60217,,,10257,,,,186345.568541491,57.1940162187422,24064.2992065857,56.0566866388535,0,349809.917827493,1386.18822352048,20.0001310302036,9237.04015632429,6181.34335816137,6181.34335816137,42.8713940249687,257321.739364109,60202.6834691082,1202.08029675234,-181.787119743298
19/02/2021,,,,,,,,,,,,,1219.63488686975,332995.605253606,258.441849525884,55854.7602567328,,,,42794.542491538,245.138773255095,59052.1948305946,16257.6523390566,39597.1079176762,36253.7400657346,170.075223314669,,52511.3924047912,178.531180950283,44299.681850841,80553.4219165755,348.606404264952,73428.3214529764,334.028008119385,7125.10046359911,190046.620654494,178392.412412894,755.019439689544,1089.04744780893,308048.323745915,24947.2815076912,59052.1948305946,249172.035759334,3343.36785194158,5268.33999418835,1083612.53300144,,25551,3390,248488,59484,188270,24480,1543,309,328,1422,353961,56296,257604,60545,,,10261,,,,186835.449514949,52.1142263392767,24112.7143677688,57.6508003772237,0,351061.362464534,1386.18822352048,21.0261763223527,9258.59555761008,6219.2343945769,6219.2343945769,39.7446714734056,258430.631316945,60438.3830541151,1201.73903522013,-179.897092830213
20/02/2021,,,,,,,,,,,,,1201.66891797816,334197.274171584,262.205729834447,56116.9659865673,,,,42963.0476240408,244.136546974851,59296.3313775695,16333.2837535286,39783.6822330386,36419.9697162858,166.229650551166,,52753.2534698145,172.156815127444,44471.8386659684,80891.8083822541,338.386465678611,73761.17438933,332.852936353612,7130.63399292411,190645.421895008,179130.876435183,738.464022288756,1071.31695864237,309366.897298951,24830.3768726336,59296.3313775695,250245.737395896,3363.71251675281,5510.25799096533,1089122.79099241,,25269,3369,249520,59641,188270,24480,1029,195,183,1076,354990,56491,258680,60728,,,10313,,,,187314.616928084,48.0903493449732,24160.8047171138,58.3861698767648,0,352321.417552389,1386.18822352048,21.8859541390855,9280.48151174917,6257.2055874086,6257.2055874086,37.9711928316972,259526.218907645,60682.51960109,1200.26805812611,-176.49956987528
21/02/2021,,,,,,,,,,,,,1204.78331358898,335402.057485173,263.935510011787,56380.901496579,,,,43134.7414593623,250.570766096461,59546.9021436659,16412.1606843035,39968.7408122755,36586.6998502233,166.730133937538,,52998.8605345269,170.552782354973,44642.3914483234,81229.0912985466,337.282916292512,74100.3812531066,339.206863776561,7128.71004544006,191244.023080908,179840.21758854,709.341153356412,1048.54801713297,310667.487059274,24734.5704258991,59546.9021436659,251296.120248816,3382.04096205215,5711.06433006589,1094833.85532248,,25464,3392,249727,59800,189464,24480,593,141,160,217,355583,56632,258897,60888,,,10334,,,,187777.505703964,45.4798295301981,24206.284546644,58.0223111839423,0,353584.223177161,1386.18822352048,22.641846927013,9303.12335867618,6294.57802444673,6294.57802444673,37.3724370381327,260599.243607492,60933.0903671864,1198.27608534491,-171.27444402109
22/02/2021,,,,,,,,,,,,,1232.71522740104,336634.772712574,261.225240132976,56642.126736712,,,,43311.2858089353,259.388073407416,59806.2902170734,16495.004408138,40147.122328574,36757.5018769047,170.802026681394,,53252.5062850428,172.294566350589,44814.686014674,81572.1878915786,343.096593031985,74451.7302024458,351.348949339196,7120.45768913285,191866.674152253,180523.048785131,682.831196591453,1034.18014593065,311963.047251393,24671.7254611809,59806.2902170734,252334.164859634,3389.62045166926,5785.87938711812,1100619.73470959,,25831,3407,250532,60133,189464,24480,1529,274,334,823,357112,56906,259720,61222,,,10339,,,,188212.231320085,44.4061835927671,24250.6907302368,56.1498190777545,0,354873.08822364,1386.18822352048,23.0213193905506,9326.14467806673,6333.10099810898,6333.10099810898,38.5229736622471,261660.3095377,61192.4784405938,1192.88161136987,-161.463789436597
23/02/2021,,,,,,,,,,,,,1275.26611269926,337910.038825273,256.123326242647,56898.2500629547,,,,43491.0339060038,266.44243896132,60072.7326560347,16581.6987500308,40316.5513129239,36931.5210115205,174.019134615739,,53513.2197615513,174.803819889632,44989.4898345636,81921.010846084,348.822954505374,74815.0422811852,363.312078739442,7105.96856489878,192531.265021751,181194.478436679,671.429651547973,1034.74173028741,313269.625894617,24640.4129306564,60072.7326560347,253376.974231513,3385.0303014034,5723.24966934717,1106342.98437894,,25660,3435,252083,60443,189464,24601,1780,345,314,1575,358892,57251,261295,61536,,,10401,,,,188613.109984233,44.2893037803018,24294.9800340171,53.4766514609714,0,356201.830987801,1386.18822352048,22.9240766730228,9349.06875473975,6374.23677808105,6374.23677808105,41.1357799720648,262726.042986253,61458.9208795552,1182.29840618575,-141.304660925504
24/02/2021,,,,,,,,,,,,,1314.01105229442,339224.049877568,252.350472775414,57150.6005357301,,,,43668.8920034534,265.307403195039,60338.0400592297,16669.1480557763,40481.4524799538,37104.6603743928,173.13936287231,,53773.808430169,175.957006674525,45165.4468412381,82270.1072156308,349.096369546839,75184.5372141947,369.494933009477,7085.57000143614,193239.110497146,181874.408761617,679.930324938339,1049.42525794782,314594.941760944,24629.1081166239,60338.0400592297,254439.67397798,3376.79210556103,5596.13969309116,1111939.12407203,,25614,3436,253450,60720,189464,24601,1636,319,278,1396,360528,57570,262691,61814,,,10409,,,,188983.035748425,44.2877748774695,24339.2678088945,50.7853681259792,0,357566.627408221,1386.18822352048,22.4852136844305,9371.55396842418,6417.80200562787,6417.80200562787,43.5652275468228,263811.227946404,61724.2282827502,1167.03333308048,-116.96230150466
25/02/2021,,,,,,,,,,,,,1329.39725091182,340553.44712848,255.037401818834,57405.6379375489,,,,43840.7379194043,257.660374260729,60595.7004334904,16754.9625140861,40650.6754234628,37272.6317093565,167.971334963709,,54027.5942234426,175.400549432533,45340.8473906707,82613.4791000271,343.371884396244,75551.3235398101,366.786325615382,7062.155560217,193966.223880856,182579.212111373,704.803349755923,1071.58967537131,315939.456883681,24613.9902447984,60595.7004334904,255528.587124756,3378.04371410634,5523.44868266022,1117462.57275469,,25317,3430,254868,60981,189464,24601,1454,301,261,1444,361982,57871,264135,62075,,,10455,,,,189332.880590965,43.4642465393105,24382.7320554338,48.7269698259383,0,358944.751628959,1386.18822352048,22.1471443791896,9393.70111280338,6462.36426347673,6462.36426347673,44.5622578488645,264922.28823756,61981.8886570109,1149.05090067836,-87.1270134817339
